id,type,app,module,message,DES.src,DES.dst,TOPO.src,TOPO.dst,module.src,service,time_in,time_out,time_emit,time_reception
17,COMP_M,0,0_7,0_(1-7),654,661,150,150,0_1,46.61573033707865,4072.284545287142,4118.900275624221,4072.284545287142,4072.284545287142
18,COMP_M,0,0_0,M.USER.APP.0,652,653,1,150,None,46.768539325842696,4148.41739902833,4195.185938354172,3306.0,4148.41739902833
18,COMP_M,0,0_1,0_(0-1),653,654,150,150,0_0,54.12247191011236,4195.185938354172,4249.308410264284,4195.185938354172,4195.185938354172
18,COMP_M,0,0_2,0_(0-2),653,655,150,150,0_0,31.78988764044944,4195.185938354172,4226.975825994622,4195.185938354172,4195.185938354172
18,COMP_M,0,0_4,0_(0-4),653,656,150,150,0_0,48.785393258426964,4195.185938354172,4243.971331612599,4195.185938354172,4195.185938354172
18,COMP_M,0,0_8,0_(1-8),654,657,150,150,0_1,40.96179775280899,4249.308410264284,4290.270208017093,4249.308410264284,4249.308410264284
18,COMP_M,0,0_3,0_(1-3),654,658,150,150,0_1,22.65730337078652,4249.308410264284,4271.965713635071,4249.308410264284,4249.308410264284
18,COMP_M,0,0_5,0_(1-5),654,659,150,150,0_1,28.60112359550562,4249.308410264284,4277.90953385979,4249.308410264284,4249.308410264284
18,COMP_M,0,0_6,0_(1-6),654,660,150,150,0_1,44.480898876404495,4249.308410264284,4293.789309140689,4249.308410264284,4249.308410264284
18,COMP_M,0,0_7,0_(1-7),654,661,150,150,0_1,46.61573033707865,4249.308410264284,4295.9241406013625,4249.308410264284,4249.308410264284
19,COMP_M,0,0_0,M.USER.APP.0,652,653,1,150,None,46.768539325842696,4325.4412640054725,4372.209803331315,3616.0,4325.4412640054725
19,COMP_M,0,0_1,0_(0-1),653,654,150,150,0_0,54.12247191011236,4372.209803331315,4426.332275241427,4372.209803331315,4372.209803331315
19,COMP_M,0,0_2,0_(0-2),653,655,150,150,0_0,31.78988764044944,4372.209803331315,4403.999690971765,4372.209803331315,4372.209803331315
19,COMP_M,0,0_4,0_(0-4),653,656,150,150,0_0,48.785393258426964,4372.209803331315,4420.995196589742,4372.209803331315,4372.209803331315
19,COMP_M,0,0_8,0_(1-8),654,657,150,150,0_1,40.96179775280899,4426.332275241427,4467.294072994236,4426.332275241427,4426.332275241427
